订货号,系列,尺寸
6SL3310-1TE32-1AA3,S120 AC/AC,FX
6SL3310-1TE32-6AA3,S120 AC/AC,FX
6SL3310-1TE33-1AA3,S120 AC/AC,GX
6SL3310-1TE33-8AA3,S120 AC/AC,GX
6SL3310-1TE35-0AA3,S120 AC/AC,GX
6SL3310-1TE32-1AA0,S120 AC/AC,FX
6SL3310-1TE32-6AA0,S120 AC/AC,FX
6SL3310-1TE33-1AA0,S120 AC/AC,GX
6SL3310-1TE33-8AA0,S120 AC/AC,GX
6SL3310-1TE35-0AA0,S120 AC/AC,GX
6SL3320-1TE32-1AA3,S120 MM,FX
6SL3320-1TE32-6AA3,S120 MM,FX
6SL3320-1TE33-1AA3,S120 MM,GX
6SL3320-1TE33-8AA3,S120 MM,GX
6SL3320-1TE35-0AA3,S120 MM,GX
6SL3320-1TE36-1AA3,S120 MM,HX
6SL3320-1TE37-5AA3,S120 MM,HX
6SL3320-1TE38-4AA3,S120 MM,HX
6SL3320-1TE41-0AA3,S120 MM,JX
6SL3320-1TE41-2AA3,S120 MM,JX
6SL3320-1TE41-4AA3,S120 MM,JX
6SL3320-1TG28-5AA3,S120 MM,FX
6SL3320-1TG31-0AA3,S120 MM,FX
6SL3320-1TG31-2AA3,S120 MM,FX
6SL3320-1TG31-5AA3,S120 MM,FX
6SL3320-1TG31-8AA3,S120 MM,GX
6SL3320-1TG32-2AA3,S120 MM,GX
6SL3320-1TG32-6AA3,S120 MM,GX
6SL3320-1TG33-3AA3,S120 MM,GX
6SL3320-1TG34-1AA3,S120 MM,HX
6SL3320-1TG34-7AA3,S120 MM,HX
6SL3320-1TG35-8AA3,S120 MM,HX
6SL3320-1TG37-4AA3,S120 MM,JX
6SL3320-1TG38-1AA3,S120 MM,JX
6SL3320-1TG38-8AA3,S120 MM,JX
6SL3320-1TG41-0AA3,S120 MM,JX
6SL3320-1TG41-3AA3,S120 MM,JX
6SL3320-1TE32-1AA0,S120 MM,FX
6SL3320-1TE32-6AA0,S120 MM,FX
6SL3320-1TE33-1AA0,S120 MM,GX
6SL3320-1TE33-8AA0,S120 MM,GX
6SL3320-1TE35-0AA0,S120 MM,GX
6SL3320-1TE36-1AA0,S120 MM,HX
6SL3320-1TE37-5AA0,S120 MM,HX
6SL3320-1TE38-4AA0,S120 MM,HX
6SL3320-1TE41-0AA0,S120 MM,JX
6SL3320-1TE41-2AA0,S120 MM,JX
6SL3320-1TE41-4AA0,S120 MM,JX
6SL3320-1TG28-5AA0,S120 MM,FX
6SL3320-1TG31-0AA0,S120 MM,FX
6SL3320-1TG31-2AA0,S120 MM,FX
6SL3320-1TG31-5AA0,S120 MM,FX
6SL3320-1TG31-8AA0,S120 MM,GX
6SL3320-1TG32-2AA0,S120 MM,GX
6SL3320-1TG32-6AA0,S120 MM,GX
6SL3320-1TG33-3AA0,S120 MM,GX
6SL3320-1TG34-1AA0,S120 MM,HX
6SL3320-1TG34-7AA0,S120 MM,HX
6SL3320-1TG35-8AA0,S120 MM,HX
6SL3320-1TG37-4AA0,S120 MM,JX
6SL3320-1TG38-1AA0,S120 MM,JX
6SL3320-1TG38-8AA0,S120 MM,JX
6SL3320-1TG41-0AA0,S120 MM,JX
